fid,id,class_0,class_1,class_2,plotID,area_km2
1,0,4,43,,SEW06,0.11438090998212
2,0,3,31,,SEW06,0.00690715736141428
3,0,4,42,,SEW06,0.0682940730598248
4,0,3,31,,SEW06,0.0187542500140028
5,0,4,42,,SEW06,0.081464781274532
6,0,4,42,,SEW06,0.00411993461294472
7,0,4,43,,SEW06,0.0352418718115613
8,0,4,43,,SEW06,0.0593196310631093
9,0,4,43,,SEW06,0.00930829912695289
10,0,4,43,,SEW06,0.0523437754896157
11,0,4,43,,SEW06,0.0013780184941357
12,0,4,42,,SEW06,0.0338449306209309
13,0,4,43,,SEW06,0.158948144904262
14,0,4,43,,SEW06,0.0218210880721137
15,0,4,43,,SEW06,0.0245496036292277
16,0,4,43,,SEW06,0.0927934380548317
