fid,id,class_0,class_1,class_2,plotID,area_km2
4,0,4,43,,SEW43,0.043102827
5,0,4,43,,SEW43,0.02217619
6,0,4,43,,SEW43,0.078021797
7,0,4,43,,SEW43,0.011605364
8,0,4,41,,SEW43,0.000578874
9,0,4,43,,SEW43,0.022670169
10,0,4,41,,SEW43,1.88E-07
11,0,4,43,,SEW43,0.139184854
12,0,4,43,,SEW43,0.003538197
13,0,4,43,,SEW43,0.027531704
14,0,4,43,,SEW43,0.018952024
15,0,4,43,,SEW43,0.010951899
16,0,4,41,,SEW43,0.049247569
17,0,4,41,,SEW43,0.143728892
18,0,4,41,,SEW43,0.113928721
1,0,4,42,,SEW44,0.013232994
2,0,4,43,,SEW44,0.014310715
3,0,4,43,,SEW44,0.008043771
4,0,4,43,,SEW44,0.024146195
5,0,4,43,,SEW44,0.147235365
6,0,4,43,,SEW44,0.047553558
7,0,4,41,,SEW44,0.00059031
8,0,4,41,,SEW44,0.004369434
9,0,4,41,,SEW44,0.014369338
10,0,4,41,,SEW44,0.000545961
11,0,4,41,,SEW44,0.040356348
12,0,4,41,,SEW44,0.071831986
13,0,4,41,,SEW44,0.051909745
14,0,4,41,,SEW44,0.013440538
15,0,4,41,,SEW44,0.012333225
16,0,4,41,,SEW44,0.059525903
17,0,4,41,,SEW44,0.005864542
18,0,4,42,,SEW44,0.024992133
19,0,4,43,,SEW44,0.112458654
20,0,3,34,,SEW44,0.005035658
21,0,4,43,,SEW44,0.045284024
22,0,4,43,,SEW44,0.004168039
23,,3,37,,SEW44,0.003885179
24,0,3,35,,SEW44,0.057431701
25,,4,42,,SEW44,0.000540692
1,0,4,41,,SEW45,0.009477804
2,0,4,43,,SEW45,0.01050605
3,0,3,34,,SEW45,0.000270513
4,0,3,31,,SEW45,0.018704742
5,0,1,13,,SEW45,0.005854065
6,0,4,43,,SEW45,0.020296752
7,0,3,34,,SEW45,0.001181691
8,0,4,43,,SEW45,0.077823228
9,0,4,43,,SEW45,0.017534533
10,0,2,21,,SEW45,0.003754598
11,0,2,21,,SEW45,0.000879822
12,0,2,21,,SEW45,0.000241671
13,0,4,42,,SEW45,0.003160219
14,0,4,42,,SEW45,0.000203803
15,0,4,42,,SEW45,0.014809187
16,0,4,43,,SEW45,0.026973845
17,0,4,43,,SEW45,0.12229736
18,0,4,41,,SEW45,0.007889644
19,0,4,42,,SEW45,0.104283862
20,0,4,43,,SEW45,0.061609207
21,0,2,21,,SEW45,0.002091111
22,0,2,21,,SEW45,0.010768695
23,0,2,21,,SEW45,0.000715289
24,0,4,43,,SEW45,0.262168591
1,0,4,43,,SEW49,0.050877247
2,0,3,31,,SEW49,0.026415072
3,0,4,41,,SEW49,0.030788716
4,0,4,41,,SEW49,0.019570332
5,0,4,43,,SEW49,0.179278082
6,0,4,41,,SEW49,0.171042743
7,0,4,42,,SEW49,0.007936183
8,0,4,42,,SEW49,0.007104698
9,0,4,42,,SEW49,0.029269106
10,0,4,43,,SEW49,0.023176244
11,0,4,43,,SEW49,0.002594427
12,0,4,43,,SEW49,0.030078569
13,0,4,43,,SEW49,0.008072965
14,0,4,43,,SEW49,0.046150582
15,0,4,43,,SEW49,0.029157337
16,0,4,43,,SEW49,0.046047099
17,0,4,43,,SEW49,0.043916426
18,0,4,41,,SEW49,0.031952293
