fid,id,class_0,class_1,class_2,plotID,area_km2
1,0,4,43,,SEW36,0.130218928645025
2,0,4,43,,SEW36,0.0222390060722339
3,0,3,34,,SEW36,0.00905176924828882
4,0,1,13,,SEW36,0.00461737145653088
5,0,4,43,,SEW36,0.0479565565431593
6,0,4,43,,SEW36,0.00216412634694576
7,0,4,42,,SEW36,0.000271127109028399
8,0,4,42,,SEW36,0.0251536422944739
9,0,4,42,,SEW36,0.15389708633153
10,0,4,42,,SEW36,4.09819044582546e-05
11,0,4,42,,SEW36,0.0213713359214326
12,0,4,42,,SEW36,0.00308415669801831
13,0,4,43,,SEW36,0.154796273094754
14,0,4,43,,SEW36,0.0922506156408787
15,0,4,43,,SEW36,0.000938843542255461
16,0,4,43,,SEW36,0.0572259964812053
17,0,4,41,,SEW36,8.09012294560671e-06
18,0,9,92,,SEW36,0.00179822411511978
19,0,4,43,,SEW36,0.0335948104078816
20,0,3,34,,SEW36,0.016825387140714
21,0,4,42,,SEW36,0.00604551219210611
