fid,id,class_0,class_1,class_2,plotID,area_km2
1,0,4,43,,SEW49,0.0508772470275313
2,0,3,31,,SEW49,0.0264150724891977
3,0,4,41,,SEW49,0.0307887162838802
4,0,4,41,,SEW49,0.0195703318012804
5,0,4,43,,SEW49,0.17927808173138
6,0,4,41,,SEW49,0.171042743191998
7,0,4,42,,SEW49,0.00793618298901711
8,0,4,42,,SEW49,0.0071046982415244
9,0,4,42,,SEW49,0.029269106363222
10,0,4,43,,SEW49,0.0231762438894277
11,0,4,43,,SEW49,0.00259442719978094
12,0,4,43,,SEW49,0.0300785688273758
13,0,4,43,,SEW49,0.00807296459593065
14,0,4,43,,SEW49,0.0461505815665964
15,0,4,43,,SEW49,0.029157337426303
16,0,4,43,,SEW49,0.0460470989653431
17,0,4,43,,SEW49,0.0439164258019226
18,0,4,41,,SEW49,0.031952292635873
