fid,id,class_0,class_1,class_2,plotID,area_km2
1,0,3,31,,SEW05,0.0225852764213178
2,0,4,41,,SEW05,0.250747765960921
3,0,3,31,,SEW05,0.00439245418387651
4,0,4,42,,SEW05,0.0395990971863181
5,0,4,42,,SEW05,0.00221960220380221
6,0,4,42,,SEW05,0.00462586111881211
7,0,4,43,,SEW05,0.00630436455384083
8,0,4,43,,SEW05,0.0225015885796435
9,0,4,43,,SEW05,0.117320115855658
10,0,3,34,,SEW05,0.0207907214723444
11,0,3,34,,SEW05,0.0133681537814527
12,0,3,34,,SEW05,5.24287280160934e-06
13,0,1,13,,SEW05,0.000763328230988234
14,0,4,42,,SEW05,0.142778557515819
15,0,3,34,,SEW05,0.000798987373393495
16,0,4,42,,SEW05,0.0962584211787985
17,0,3,34,,SEW05,0.00341509389783256
18,0,4,43,,SEW05,0.0349785116184899
